EntityId,Name,Type,AlsoKnownAs,WDId,WDUrl,WDDescription,WDSource
XEq7rZ1HV,Jeff Maqetuka,PERSON,,,,,
6rUJ9I4NU,National Intelligence Agency,ORG,{'NIA'},Q2915916,https://www.wikidata.org/entity/Q2915916,Nigerian government division,PyWikibot
ko90EBKxe,SA Secret Service,ORG,,,,,
sRDBkDwA1,Bishop Stephen Zondo rape trial,EVENT,,,,,
QAgliYc1F,Bishop Stephen Zondo,PERSON,,,,,
9GbyZ5xCU,rape,EVENT,,,,,
lcvEOJ4Ly,Gauteng,ORG,,,,,
RryA8AwWw,1980,DATE,,,,,
4gXngRVYF,Covid-19,GPE,,,,,
wBVKExyjL,house chairperson,POSITION,,,,,
ikxlwQQVs,budget vote,LAW,,,,,
JQ0Y4tGX0,Parliament's budget vote,EVENT,,,,,
12YT8vjMT,Manyi protests his innocence after state capture ‘witness tampering’,EVENT,,,,,
0leq6zm4R,Zweli Momeko,PERSON,,,,,
ZSneSMFl2,business partner,OCCUPATION,,,,,
EBmZbZUpP,Diamond Hill,GPE,,,,,
Oq5hxNbwY,Mr Agrizzi,PERSON,,,,,
hR2L1bFUu,Sandy Thomas,PERSON,,,,,
WNuoksqFU,minister,ORG,,,,,
DodlY8W9K,April 1993,DATE,,,,,
Zrm0AnAUB,SACP leader,POSITION,,,,,
JQoD9auO0,10 April 1993,DATE,,,,,
CGBo31U3t,Selby Baqwa,PERSON,,,,,
NGCeGBnS7,judges,POSITION,,,,,
ZyeKxrh9e,Indian High Commission,ORG,,,,,
cg64HVnqG,Mac Maharaj,PERSON,,,,,
DwkaxzYUg,Zukiswa Rantho,PERSON,,,,,
ZHoHGAKcy,parliamentary inquiry into Eskom,ORG,,,,,
SDUZKyF3x,Fourth Parliament,ORG,,,,,
IXcakxCJm,chief whip,POSITION,,,,,
aDpJgoBQt,political party,ORG,,,,,
dbKfKAvLM,Phumelela Municipality,GPE,,,,,
kKeqiXhuT,John Motaung,PERSON,,,,,
K7YvXfJR6,Office of the Premier,ORG,,,,,
pVDFdvHE1,municipality,GPE,,,,,
HoLnfOm0b,the municipality,GPE,,,,,
qmfaNsj0F,eThekwini Metropolitan Municipality,GPE,"{'Durban Municipality', 'eThekwini Municipality', 'Durban Metro', 'eThekwini', 'Durban Metropolitan Municipality', 'eThekwini Metro', 'Ethekwini'}",Q311544,https://www.wikidata.org/entity/Q311544,"metropolitan municipality in KwaZulu-Natal, South Africa",OpenTapioca
z996yKK19,Zandile Gumede,PERSON,{'Zandile Ruth Thelma Gumede'},Q28086119,https://www.wikidata.org/entity/Q28086119,politician,OpenTapioca
fuJS5FZsh,Manyi at state capture commission,EVENT,,,,,
RIEEDUiYN,director-general of the GCIS,POSITION,,,,,
sWSp3EHXM,Lucky Montana,PERSON,,Q116213155,https://www.wikidata.org/wiki/Q116213155,South African businessman,OpenTapioca
2Wa3KbySm,Maria Gomes,PERSON,,,,,
L8OzFaKd5,Angola,GPE,"{'ao', 'Republic of Angola', '🇦🇴', 'ANG', 'Ngola'}",Q916,https://www.wikidata.org/entity/Q916,sovereign state in Africa,OpenTapioca
sUV1O20EF,Spokesperson for the commission,POSITION,,,,,
WOGiGlHLm,Joel Netshitenzhe,PERSON,,Q6213795,https://www.wikidata.org/entity/Q6213795,South African politician,OpenTapioca
ChDApb0Cb,national executive committee members,ORG,,,,,
23zWc8p0z,Ramaph,PERSON,,,,,
P8O6kTiZ7,party president,POSITION,,,,,
3Zp7Jv4nO,Mr Mashatile,PERSON,,,,,
vXRND7oGh,Tim Mokhesi,PERSON,,,,,
yCs0yZWOw,Trust Matsilele,PERSON,,,,,
1fSqq0W4l,Political analyst,OCCUPATION,,,,,
4oQXX5Vxb,Commission secretary,POSITION,,,,,
JoELu68vx,Institute of Security Studies,ORG,,,,,
ZMKE3v4Up,Gauteng Judge President,POSITION,,,,,
yX4W4M8MX,attack on Ramaphosa's decision to appoint him,EVENT,,,,,
ljza6W8r9,Eastern Free State,GPE,,,,,
EAhVLP6Go,Special Investigative Unit,ORG,,,,,
9DNoWfoJk,Shamila Batohi's,PERSON,,,,,
Vr4HCcYBJ,prosecutions,POSITION,,,,,
jlDhvzNSt,UniteBehind,PERSON,,,,,
VhHHiAnsZ,GroundUp,ORG,,,,,
tkw8sEKLK,Washeem Abrahams,ORG,,,,,
Rb3hUcNl2,army,ORG,,,,,
M0iyfg3SI,Rayarn Kennis,ORG,,,,,
GNl0k7SoE,Washeem Abrahams,PERSON,,,,,
2RzooOZ97,Manenberg,GPE,,,,,
FwXwBPYUR,Elsies River,LOC,,,,,
gbj5Ive2d,Sonke Gender Justice,ORG,,Q30288785,https://www.wikidata.org/entity/Q30288785,"other organization in Cape Town, South Africa",OpenTapioca
WXlpEfGIo,Frank Chikane,PERSON,,Q2156889,https://www.wikidata.org/entity/Q2156889,South African activist,OpenTapioca
4HvNY9A4w,Z,PERSON,,,,,
4g4v4oxPa,rape trial against Zondo,EVENT,,,,,
H3yQnWjSB,Formula 1 Hotel,FAC,,,,,
Q0yTlW1Er,Vereeniging,GPE,,,,,
TLkzCCEBv,Rivers of Living Waters Ministries,GPE,,,,,
FIU5T8Rqm,premier of the,POSITION,,,,,
EAFKq5BKT,Human Settlements and Water and Sanitation Minister,POSITION,,,,,
MlPm45LGN,Blade Nzimade,PERSON,,,,,
XyjWjNks5,Mphahlele,PERSON,,,,,
mhxlVEzp9,Power FM,ORG,,,,,
ZghGG6XKn,August 27,DATE,,,,,
45rTEwqCz,Bryanston,GPE,,,,,
VJfsQ6KFM,Germiston,GPE,,,,,
ySz2NGMAU,Government Communication and Information Systems,ORG,,,,,
jQ2Owz6FQ,You dare say something,EVENT,,,,,
X2TUvufGh,Abednigo Hlungwani,PERSON,,,,,
cdrahPl7T,Zuma's testimony,EVENT,,,,,
9KAxyZJfp,Gavin Watson's car crash,EVENT,,,,,
XY4aCWmy5,Road Traffic Management Corporation,ORG,{'RTMC'},,,,
h6MUk6OEZ,Simon Zwane,PERSON,,,,,
vQHcfQu1v,party chairperson,POSITION,,,,,
K2LY0VUI7,Maputo,GPE,"{'Lourenço Marques', 'Lourenço Marquez'}",Q3889,https://www.wikidata.org/entity/Q3889,capital of Mozambique,PyWikibot
xXYmDTFCS,Mozambique,GPE,,,,,
7HGiGNuzZ,Busisiwe M,PERSON,,,,,
XjXav4r8p,Guy Lamb,PERSON,,,,,
8tiIGDsNl,Crime expert,OCCUPATION,,,,,
q8M4kmAps,Crime,OCCUPATION,,,,,
ecy2b1GSG,police commissioner,PERSON,,,,,
XHjAaX0Rb,Minister of Police,PERSON,,,,,
POSzET6jC,Minister of Police,ORG,,,,,
QULe6ELLG,Master Trade,ORG,,,,,
Spg5vIbRE,sub-contractors,INDUSTRY,,,,,
xuMgGgiZi,impeachment,EVENT,,,,,
z0x6OSAEV,High Court,PERSON,,,,,
S17M3XMxo,that case,EVENT,,,,,
1jsFJMrNF,attacks on the judiciary,EVENT,,,,,
a7mJDQgnD,the criminal matter,EVENT,,,,,
z7B125q27,Mr Zuma,PERSON,,,,,
vzKUyaS55,Jacob Zuma's corruption trial,EVENT,,,,,
Hm4ZCOKfx,Justice Maya,PERSON,,,,,
0Mengbawg,President of the SCA,POSITION,,,,,
EokXpyH8n,Zuma's reconsideration application,EVENT,,,,,
XTx3LNACJ,two urgent cases involving Zuma,EVENT,,,,,
BcOTeUmoh,South Africa's second most powerful judge,POSITION,,,,,
iLZ8qij2c,OCJ,ORG,,,,,
aJpjYXOt8,Zuma trial,EVENT,,,,,
aZcMCMHrH,Paul Myburgh,PERSON,,,,,
0iXXM4CQF,Registrar of the SCA,POSITION,,,,,
ty2WjkCXI,tenderpreneur,OCCUPATION,,,,,
ATI0to9qJ,Labour and Employment Minister,POSITION,,,,,
zZ3ZusrvG,Deputy Minister in the Presidency,POSITION,,,,,
eneShvwiX,Nosiviwe Mapisa-N,PERSON,,,,,
yDwnnMrHk,Northern Mariana Islands,POSITION,"{'mp', 'the Northern Mariana Islands', 'NMI', 'MP', 'CNMI', 'nmi', '🇲🇵', 'Commonwealth of the Northern Maria Islands'}",Q16644,https://www.wikidata.org/entity/Q16644,American-dependent insular area in the western Pacific,OpenTapioca
grt2OiyFj,parliamentary debates,EVENT,,,,,
Cc0X02gJ6,Queen Mhlongo,PERSON,,,,,
9nnPxLHn4,Welcome Mhlongo,PERSON,,,,,
Y4WM4JiEe,Umlazi,PERSON,,,,,
RCreGkN4Q,Road Accident Fund,ORG,,,,,
NvGvmuiyK,RAF,ORG,,,,,
W4iRDdfnx,Terrance] Joubert,PERSON,,,,,
syRmfGbbA,Siyanqoba,PERSON,,,,,
hn1XmV3W0,2004,DATE,,,,,
9TqDuuM45,Parliament's Register of Members' Interests,ORG,,,,,
TwXcpPly3,Gavin's,PERSON,,,,,
AHuCGtwCa,Cheeky Watson,PERSON,,Q5089292,https://www.wikidata.org/entity/Q5089292,South African rugby union footballer,OpenTapioca
r7ExVDdEx,Max Mpuzana,PERSON,,,,,
GLot8nvLU,Valence,PERSON,,,,,
YhJzYLhgW,Royalston Estate,ORG,,,,,
cp4Bpwgeb,Jacob Gedleyihlekisa Zuma Foundation,ORG,,,,,
kxYkNnePt,his much-anticipated trial,EVENT,,,,,
MVlVI2Yo5,Avrielle Maier-Frawley,PERSON,,,,,
qFu2korPZ,Zuma's sentencing,EVENT,,,,,
UZplLi7ql,Stephanie Rossouw,PERSON,{'S Rossouw'},Q115516246,https://www.wikidata.org/entity/Q115516246,lecturer in social science and public policy in New Zealand (AUT),OpenTapioca
7ai2dkkuK,News Zealand,ORG,,,,,
k7ibFlQ5w,sentenced to jail,EVENT,,,,,
E35BK4g0l,Covid,ORG,,,,,
V8zwFJSYO,lockdown,PRODUCT,,,,,
TGaUTKT5V,national head of investigations,POSITION,,,,,
nT7yvvkKe,January 2015,DATE,,,,,
z79UksKKY,Tony Yengeni,PERSON,{'Tony Sithembiso Yengeni'},Q7823713,https://www.wikidata.org/entity/Q7823713,South African politician,OpenTapioca
cYfZNwjNe,national executive members,ORG,,,,,
EK7Oyz0Az,Sihle Zikalala,PERSON,,Q63220969,https://www.wikidata.org/entity/Q63220969,South African politician,OpenTapioca
gbrd4wmvM,KwaZulu-Natal Premier,POSITION,,,,,
nZmK8dk9B,Gavin] Watson,PERSON,,,,,
1Y73OwcUp,economic empowerment,INDUSTRY,,,,,
5Bo0tWSyI,economic improvement,INDUSTRY,,,,,
sxmzBo7uW,Tshepo Tsuaeli,PERSON,,,,,
tUcmzBSaO,Acting head of the Free State Department of Human Settlements,POSITION,,,,,
jlQ2s9QZm,Director-General of Human Settlements,POSITION,,,,,
XkAzjdJfw,Nthimotse Mokhesi,GPE,,,,,
NjX181B98,Willie Hofmeyr,PERSON,,,,,
pd25yUKo6,Jackie Selebi,PERSON,,Q1677635,https://www.wikidata.org/entity/Q1677635,South African politician (1950-2015),OpenTapioca
4s0DkdtIX,Matric Luphondo,PERSON,,,,,
IFhEQqg27,Pretoria chief prosecutor,POSITION,,,,,
kNJanoU3t,Oscar Pistorius,PERSON,"{'Oscar Leonard Carl Pistorius', 'Blade Runner', 'Fastest man on no legs'}",Q201377,https://www.wikidata.org/entity/Q201377,South African Paralympic athlete,OpenTapioca
7jp2pldY0,Mzwandile Mbeje,PERSON,,,,,
omnPIEEpJ,Appeal Court President,POSITION,,,,,
nIC8sXSck,Appeal Court,ORG,,,,,
SpvaBdiH8,Public Protector's,POSITION,,,,,
77g3FBujA,Public Protector's rescission application,EVENT,,,,,
6xN6jVdwZ,currently on trial for perjury,EVENT,,,,,
yRslcmizj,", Vincent Smith",PERSON,,,,,
hJoWLPauv,chairperson of the portfolio committee on correctional services,POSITION,,,,,
l0Zh58J9q,"Deputy Minister of Human Settlements, Water and Sanitation",POSITION,,,,,
joPGo9C7V,Joint Standing Committee on Intelligence,ORG,{'JSCI'},,,,
02KKd1JCH,People's Parliament,ORG,,,,,
zWULRgsRp,Umhlanga Rocks,GPE,,,,,
vVnVdIsmw,head office,ORG,,,,,
gsqf7dRbN,FM08,PERSON,,,,,
oLwUskFoh,FM08,ORG,,,,,
0OtH4usSo,the issue of cash came about,EVENT,,,,,
exItIOuYd,Timmy Marimuthu,PERSON,,,,,
PQygyNtfz,SSA director-general,POSITION,,,,,
FyQN7c58Q,African Independent,ORG,,,,,
ryP12JmMB,SSA DG,POSITION,,,,,
Xv3CHL9ZG,Zuma's pantry,ORG,,,,,
CciU7AyXC,public spending,INDUSTRY,,,,,
